CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 1215.031250 1738815949.4688
MEM 1229.906250 1738815949.5701
MEM 1244.531250 1738815949.6703
MEM 1258.031250 1738815949.7720
MEM 1272.281250 1738815949.8728
MEM 1288.406250 1738815949.9731
MEM 1298.031250 1738815950.0734
MEM 1312.656250 1738815950.1736
MEM 1325.031250 1738815950.2740
MEM 1338.781250 1738815950.3743
MEM 1353.031250 1738815950.4752
MEM 1368.031250 1738815950.5762
MEM 1380.906250 1738815950.6764
MEM 1395.781250 1738815950.7766
MEM 1410.781250 1738815950.8782
MEM 1424.906250 1738815950.9798
MEM 1436.906250 1738815951.0800
MEM 1449.656250 1738815951.1803
MEM 1462.031250 1738815951.2806
MEM 1476.156250 1738815951.3808
MEM 1490.531250 1738815951.4824
MEM 1504.031250 1738815951.5826
MEM 1518.781250 1738815951.6828
MEM 1533.656250 1738815951.7835
MEM 1548.656250 1738815951.8843
MEM 1563.406250 1738815951.9845
MEM 1574.781250 1738815952.0862
MEM 1586.531250 1738815952.1868
MEM 1598.781250 1738815952.2893
MEM 1611.156250 1738815952.3895
MEM 1625.531250 1738815952.4910
MEM 1639.156250 1738815952.5916
MEM 1653.906250 1738815952.6925
MEM 1668.281250 1738815952.7927
MEM 1682.906250 1738815952.8931
MEM 1697.281250 1738815952.9933
MEM 1707.656250 1738815953.0939
MEM 1722.281250 1738815953.1947
MEM 1733.281250 1738815953.2949
MEM 1746.906250 1738815953.3951
MEM 1761.281250 1738815953.4963
MEM 1775.156250 1738815953.5965
MEM 1789.656250 1738815953.6967
MEM 1804.406250 1738815953.7970
MEM 1819.531250 1738815953.8972
MEM 1834.531250 1738815953.9985
MEM 1847.656250 1738815954.0987
MEM 1862.656250 1738815954.2001
MEM 1875.531250 1738815954.3014
MEM 1889.656250 1738815954.4016
MEM 1903.031250 1738815954.5017
MEM 1916.656250 1738815954.6021
MEM 1931.031250 1738815954.7026
MEM 1945.406250 1738815954.8038
MEM 1959.781250 1738815954.9050
MEM 1974.406250 1738815955.0067
MEM 1987.156250 1738815955.1081
MEM 2001.531250 1738815955.2083
MEM 2013.906250 1738815955.3085
MEM 2027.906250 1738815955.4087
MEM 2042.281250 1738815955.5089
MEM 2055.281250 1738815955.6096
MEM 2069.406250 1738815955.7105
MEM 2079.906250 1738815955.8107
MEM 2094.656250 1738815955.9115
MEM 2108.906250 1738815956.0118
MEM 2121.281250 1738815956.1127
MEM 2133.781250 1738815956.2135
MEM 2145.906250 1738815956.3138
MEM 2160.156250 1738815956.4143
MEM 2174.906250 1738815956.5155
MEM 2189.281250 1738815956.6158
MEM 2203.906250 1738815956.7175
MEM 2217.656250 1738815956.8190
MEM 2231.906250 1738815956.9192
MEM 2245.406250 1738815957.0196
MEM 2258.531250 1738815957.1206
MEM 2271.906250 1738815957.2237
