CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 0.375000 1738821388.2133
MEM 21.937500 1738821388.3136
MEM 35.054688 1738821388.4141
MEM 46.675781 1738821388.5144
MEM 72.550781 1738821388.6146
MEM 185.550781 1738821388.7149
MEM 259.175781 1738821388.8153
MEM 276.300781 1738821388.9158
MEM 293.800781 1738821389.0161
MEM 337.675781 1738821389.1165
MEM 348.726562 1738821389.2169
MEM 357.351562 1738821389.3174
MEM 366.226562 1738821389.4178
MEM 373.851562 1738821389.5182
MEM 375.476562 1738821389.6186
MEM 379.101562 1738821389.7190
MEM 384.226562 1738821389.8194
MEM 388.226562 1738821389.9198
MEM 413.226562 1738821390.0201
MEM 417.726562 1738821390.1205
MEM 422.226562 1738821390.2209
MEM 452.730469 1738821390.3213
MEM 473.355469 1738821390.4217
MEM 483.605469 1738821390.5222
MEM 494.105469 1738821390.6226
MEM 533.105469 1738821390.7230
MEM 536.628906 1738821390.8234
MEM 539.878906 1738821390.9238
MEM 545.878906 1738821391.0242
MEM 549.253906 1738821391.1246
MEM 568.003906 1738821391.2250
MEM 601.378906 1738821391.3254
MEM 747.796875 1738821391.4258
MEM 818.671875 1738821391.5263
MEM 866.671875 1738821391.6292
MEM 872.546875 1738821391.7294
MEM 876.421875 1738821391.8297
MEM 876.421875 1738821391.9299
MEM 876.921875 1738821392.0301
MEM 876.921875 1738821392.1303
MEM 878.921875 1738821392.2304
MEM 881.671875 1738821392.3306
MEM 885.046875 1738821392.4320
MEM 887.921875 1738821392.5323
MEM 890.921875 1738821392.6325
MEM 893.921875 1738821392.7327
MEM 896.421875 1738821392.8329
MEM 899.421875 1738821392.9335
MEM 901.921875 1738821393.0362
MEM 904.421875 1738821393.1364
MEM 907.171875 1738821393.2366
MEM 909.921875 1738821393.3377
MEM 913.046875 1738821393.4378
MEM 916.046875 1738821393.5390
MEM 919.046875 1738821393.6393
MEM 922.046875 1738821393.7394
MEM 925.171875 1738821393.8402
MEM 928.171875 1738821393.9416
MEM 930.671875 1738821394.0427
MEM 933.671875 1738821394.1429
MEM 936.171875 1738821394.2431
MEM 939.046875 1738821394.3435
MEM 942.046875 1738821394.4437
MEM 944.296875 1738821394.5445
MEM 946.296875 1738821394.6447
MEM 949.296875 1738821394.7463
MEM 951.546875 1738821394.8465
MEM 954.546875 1738821394.9477
MEM 957.171875 1738821395.0480
MEM 960.171875 1738821395.1500
MEM 962.421875 1738821395.2511
MEM 965.171875 1738821395.3513
MEM 968.921875 1738821395.4514
MEM 972.046875 1738821395.5516
MEM 974.796875 1738821395.6530
MEM 977.546875 1738821395.7532
MEM 980.546875 1738821395.8540
MEM 983.671875 1738821395.9542
MEM 986.171875 1738821396.0560
MEM 989.171875 1738821396.1574
MEM 991.921875 1738821396.2586
MEM 994.921875 1738821396.3601
MEM 997.671875 1738821396.4603
MEM 1000.796875 1738821396.5605
MEM 1003.796875 1738821396.6606
MEM 1006.796875 1738821396.7611
MEM 1009.546875 1738821396.8619
MEM 1012.546875 1738821396.9626
MEM 1015.171875 1738821397.0630
MEM 1018.171875 1738821397.1641
MEM 1020.671875 1738821397.2643
MEM 1023.671875 1738821397.3645
MEM 1026.421875 1738821397.4660
MEM 1029.171875 1738821397.5661
MEM 1032.171875 1738821397.6676
MEM 1035.171875 1738821397.7681
MEM 1037.671875 1738821397.8691
MEM 1040.796875 1738821397.9704
MEM 1043.296875 1738821398.0710
MEM 1046.546875 1738821398.1716
MEM 1049.046875 1738821398.2722
MEM 1052.046875 1738821398.3738
MEM 1055.046875 1738821398.4752
MEM 1058.171875 1738821398.5754
MEM 1060.171875 1738821398.6756
MEM 1062.796875 1738821398.7769
MEM 1064.546875 1738821398.8771
MEM 1066.546875 1738821398.9773
MEM 1068.296875 1738821399.0788
MEM 1070.046875 1738821399.1791
MEM 1071.796875 1738821399.2794
MEM 1073.546875 1738821399.3819
MEM 1075.421875 1738821399.4846
MEM 1076.921875 1738821399.5856
MEM 1078.921875 1738821399.6886
MEM 1080.671875 1738821399.7898
MEM 1082.421875 1738821399.8901
MEM 1084.421875 1738821399.9906
MEM 1085.921875 1738821400.0910
MEM 1087.796875 1738821400.1916
MEM 1089.296875 1738821400.2938
MEM 1090.921875 1738821400.3942
MEM 1092.671875 1738821400.4944
MEM 1094.421875 1738821400.5949
MEM 1096.171875 1738821400.6958
MEM 1098.171875 1738821400.7965
MEM 1099.921875 1738821400.8991
MEM 1101.921875 1738821401.0006
MEM 1103.421875 1738821401.1026
MEM 1106.921875 1738821401.2039
MEM 1108.796875 1738821401.3041
MEM 1110.671875 1738821401.4043
MEM 1112.671875 1738821401.5046
MEM 1114.546875 1738821401.6048
MEM 1116.546875 1738821401.7050
MEM 1118.296875 1738821401.8058
MEM 1120.546875 1738821401.9070
MEM 1123.296875 1738821402.0072
MEM 1125.921875 1738821402.1078
MEM 1129.171875 1738821402.2104
MEM 1131.671875 1738821402.3107
MEM 1134.671875 1738821402.4114
MEM 1137.421875 1738821402.5128
MEM 1140.796875 1738821402.6130
MEM 1143.796875 1738821402.7132
MEM 1147.046875 1738821402.8133
MEM 1149.546875 1738821402.9135
MEM 1152.671875 1738821403.0138
MEM 1154.921875 1738821403.1144
MEM 1157.796875 1738821403.2146
MEM 1160.421875 1738821403.3176
MEM 1163.421875 1738821403.4183
MEM 1166.421875 1738821403.5198
MEM 1169.421875 1738821403.6201
MEM 1172.421875 1738821403.7203
MEM 1179.546875 1738821403.8220
MEM 1182.546875 1738821403.9221
MEM 1184.546875 1738821404.0241
MEM 1186.296875 1738821404.1244
MEM 1196.421875 1738821404.2246
MEM 1196.453125 1738821404.3248
MEM 1216.953125 1738821404.4251
MEM 1313.703125 1738821404.5256
MEM 1348.078125 1738821404.6265
MEM 1351.703125 1738821404.7291
MEM 1355.453125 1738821404.8294
MEM 1359.703125 1738821404.9296
MEM 1359.703125 1738821405.0299
MEM 1359.703125 1738821405.1301
MEM 1354.765625 1738821405.2304
MEM 1361.140625 1738821405.3306
MEM 1361.390625 1738821405.4309
MEM 1361.390625 1738821405.5311
MEM 1361.390625 1738821405.6321
MEM 1361.390625 1738821405.7324
MEM 1361.390625 1738821405.8326
MEM 1361.390625 1738821405.9329
MEM 1361.390625 1738821406.0339
MEM 1361.390625 1738821406.1341
MEM 1361.390625 1738821406.2446
MEM 1361.390625 1738821406.3463
MEM 1361.390625 1738821406.4465
MEM 1361.390625 1738821406.5468
MEM 1361.390625 1738821406.6470
MEM 1361.515625 1738821406.7473
MEM 1361.515625 1738821406.8475
MEM 1369.515625 1738821406.9477
MEM 1369.515625 1738821407.0480
MEM 1369.515625 1738821407.1482
MEM 1369.515625 1738821407.2488
MEM 1369.515625 1738821407.3505
MEM 1369.515625 1738821407.4515
MEM 1369.515625 1738821407.5517
MEM 1377.515625 1738821407.6520
MEM 1377.515625 1738821407.7531
MEM 1377.515625 1738821407.8561
MEM 1377.515625 1738821407.9564
MEM 1377.515625 1738821408.0573
MEM 1377.515625 1738821408.1591
MEM 1377.515625 1738821408.2598
MEM 1385.515625 1738821408.3604
MEM 1385.515625 1738821408.4607
MEM 1385.515625 1738821408.5626
MEM 1385.515625 1738821408.6629
