CMDLINE /home/mamm/anaconda3/envs/agar/bin/python train_ppo.py
MEM 1411.722656 1738823984.2125
MEM 1411.722656 1738823984.3128
MEM 1411.722656 1738823984.4132
MEM 1411.722656 1738823984.5136
MEM 1411.722656 1738823984.6140
MEM 1411.722656 1738823984.7150
MEM 1411.722656 1738823984.8171
MEM 1411.722656 1738823984.9174
MEM 1411.722656 1738823985.0177
MEM 1411.722656 1738823985.1180
MEM 1411.722656 1738823985.2184
MEM 1411.722656 1738823985.3187
MEM 1411.722656 1738823985.4191
MEM 1411.722656 1738823985.5193
MEM 1411.722656 1738823985.6205
MEM 1411.722656 1738823985.7207
MEM 1411.722656 1738823985.8209
MEM 1411.722656 1738823985.9226
MEM 1411.722656 1738823986.0228
MEM 1411.722656 1738823986.1239
MEM 1411.722656 1738823986.2251
MEM 1411.722656 1738823986.3254
MEM 1411.722656 1738823986.4273
MEM 1411.722656 1738823986.5276
MEM 1411.722656 1738823986.6297
MEM 1411.722656 1738823986.7299
MEM 1424.312500 1738823986.8322
MEM 1480.148438 1738823986.9325
MEM 1419.929688 1738823987.0327
MEM 1419.929688 1738823987.1330
MEM 1419.929688 1738823987.2357
MEM 1419.929688 1738823987.3360
MEM 1419.929688 1738823987.4367
MEM 1419.929688 1738823987.5389
MEM 1419.929688 1738823987.6393
MEM 1419.929688 1738823987.7397
MEM 1419.929688 1738823987.8401
MEM 1419.929688 1738823987.9423
MEM 1419.929688 1738823988.0426
MEM 1419.929688 1738823988.1429
MEM 1419.929688 1738823988.2432
MEM 1419.929688 1738823988.3436
MEM 1419.929688 1738823988.4454
MEM 1419.929688 1738823988.5462
MEM 1419.929688 1738823988.6465
MEM 1419.929688 1738823988.7467
MEM 1419.929688 1738823988.8487
MEM 1419.929688 1738823988.9496
MEM 1419.929688 1738823989.0501
MEM 1419.929688 1738823989.1504
MEM 1419.929688 1738823989.2521
MEM 1419.929688 1738823989.3531
MEM 1419.929688 1738823989.4533
MEM 1419.929688 1738823989.5536
MEM 1419.929688 1738823989.6539
MEM 1419.929688 1738823989.7541
MEM 1419.929688 1738823989.8554
MEM 1419.929688 1738823989.9557
MEM 1419.929688 1738823990.0560
MEM 1419.929688 1738823990.1584
MEM 1419.929688 1738823990.2593
MEM 1419.929688 1738823990.3596
MEM 1419.929688 1738823990.4599
MEM 1419.929688 1738823990.5601
MEM 1419.929688 1738823990.6604
MEM 1419.929688 1738823990.7607
MEM 1419.929688 1738823990.8609
MEM 1419.929688 1738823990.9624
MEM 1419.929688 1738823991.0626
MEM 1419.929688 1738823991.1629
MEM 1419.929688 1738823991.2631
MEM 1419.929688 1738823991.3634
MEM 1419.929688 1738823991.4645
MEM 1419.929688 1738823991.5656
MEM 1419.929688 1738823991.6659
MEM 1419.929688 1738823991.7679
MEM 1419.929688 1738823991.8689
MEM 1469.500000 1738823991.9712
MEM 1467.828125 1738823992.0715
MEM 1420.078125 1738823992.1718
MEM 1420.078125 1738823992.2721
MEM 1420.078125 1738823992.3724
MEM 1420.078125 1738823992.4744
MEM 1420.078125 1738823992.5746
MEM 1420.078125 1738823992.6762
MEM 1420.078125 1738823992.7766
MEM 1420.078125 1738823992.8770
MEM 1420.078125 1738823992.9774
MEM 1420.078125 1738823993.0801
MEM 1420.078125 1738823993.1805
MEM 1420.078125 1738823993.2807
MEM 1420.078125 1738823993.3818
MEM 1420.078125 1738823993.4821
MEM 1420.078125 1738823993.5825
MEM 1420.078125 1738823993.6831
MEM 1420.078125 1738823993.7834
